english_title,japanese_title,producer,serial,date,category
Cyber Knight,サイバーナイト,トンキンハウス（東京書籍） / グループSNE / Tonkin House (Tokyo Shoseki) / Group SNE,SHVC-CX,1992-10-30,RPG
Super Linearball,スーパーリニアボール,ヒロ / HIRO,SHVC-SJ,1992-11-06,Sports / Football
Sangokushi III,三国志III,光栄 / Koei,SHVC-S3,1992-11-08,Strategy
Lennus - Kodai Kikai no Kioku,Lennus レナス 古代機械の記憶,アスミック / Asmik,SHVC-LN,1992-11-13,RPG / Turn Based
Super Swiv,スーパーSWIV,ココナッツ・ジャパン / Coconuts Japan,SHVC-SQ,1992-11-13,Shooter / 360
Hero Senki - Project Olympus,ヒーロー戦記 プロジェクト オリュンポス,バンプレスト / ウィンキーソフト / Banpresto / Winkysoft,SHVC-HS,1992-11-20,RPG
Mickey no Magical Adventure,ミッキーのマジカルアドベンチャー,カプコン / Capcom,SHVC-MI,1992-11-20,Action / Side Scrolling
Wizardry V - Heart of the Maelstrom,ウィザードリィ・V 災禍（メイルストローム）の中心,アスキー / ゲームスタジオ / ASCII / Game Studio / Sir-tech Software,SHVC-W5 / SNS-W5,1992-11-20 / 1994-04-01,RPG / First Person
Human Grand Prix,ヒューマングランプリ,ヒューマン / Human,SHVC-HG,1992-11-20,Sports / Formula Racing (競馬)
America Oudan Ultra Quiz,アメリカ横断ウルトラクイズ,トミー / Tomy,SHVC-UQ,1992-11-20,Quiz
Hokuto no Ken 6 - Gekitou Denshou Ken Haou heno Michi,北斗の拳6 激闘伝承拳 覇王への道,東映動画 / ショウエイシステム / Toei Animation / Shouei System,SHVC-K6,1992-11-20,Fighting / Hand To Hand
Taiketsu!! Brass Numbers,対決！！ブラスナンバーズ,レーザーソフト（日本テレネット） / Laser Soft (Telenet Japan),SHVC-TB / SNS-DM,1992-11-20,Fighting / Hand To Hand
Cacoma Knight in Bizyland,カコマ☆ナイト,データム・ポリスター / Datam Polystar,SHVC-CC / SNS-CC,1992-11-21 / 1993-06-01,Puzzle
Outer World,アウター・ワールド,"ビクター音楽産業 / Victor Musical Industries / Interplay, Delphine Software",SHVC-TW,1992-11-27,Action / Platformer
Royal Conquest,ロイヤルコンクエスト,"ジャレコ, デーシーイー / Jaleco, DCE / Argonaut",SHVC-RC,1992-11-27,Strategy
Garou Densetsu - Shukumei no Tatakai,餓狼伝説 宿命の闘い,タカラ / タカラ アミューズメント / エス・エヌ・ケイ / Takara / Takara Amusement / SNK,SHVC-GN,1992-11-27,Fighting / Hand To Hand
Gunforce - Battle Fire Engulfed Terror Island,ガンフォース,"アイレム, タムテックス / IREM, Tamtex / BITS",SHVC-GU,1992-11-27,Action / Platformer
Barbarossa,バルバロッサ,サミー / システムソフト / Sammy / SystemSoft,SHVC-BK,1992-11-27,Strategy
Volleyball Twin,ツイン バレーボールTwin,トンキンハウス（東京書籍） / Tonkin House (Tokyo Shoseki),SHVC-VT,1992-11-27,Sports / Volleyball
Ashita no Joe,あしたのジョー,ケイ・アミューズメントリース / K. Amusement Leasing,SHVC-AJ,1992-11-27,Sports / Boxing
Song Master,ソングマスター,やのまん / 日本アートメディア / Yanoman / Japan Art Media (JAM),SHVC-YM,1992-11-27,RPG
Power Athlete,パワーアスリート,カネコ / Kaneko,SHVC-P3,1992-11-27,Fighting / Hand To Hand
Major Title,メジャータイトル,アイレム / IREM,SHVC-MT,1992-12-04,Sports / Golf
Serizawa Nobuo no Birdie Try,バーディトライ 芹沢信雄の,東宝 / TOHO,SHVC-TS,1992-12-04,Sports / Golf
Mystery Circle,ミステリーサークル,ケイ・アミューズメントリース / K. Amusement Leasing Co.,SHVC-MC,1992-12-04,Puzzle
Super Black Bass,スーパーブラックバス,ホット・ビィ / HOT-B,SHVC-BQ / SNS-BQ,1992-12-04 / 1993-04-01,Sports / Fishing (釣り)
Battle Soccer - Field no Hasha,バトルサッカー フィールドの覇者,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-B8,1992-12-11,Sports / Soccer
Benkei Gaiden - Suna no Shou,すな 弁慶外伝 沙の章,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-BO,1992-12-11,RPG / Turn Based
Hiryu no Ken S - Hyper Version,ハイパーバージョン 飛龍の拳S,カルチャーブレーン / Culture Brain,SHVC-HP,1992-12-11,Action / Beat 'em Up
Hakunetsu Pro Yakyuu '93 - Ganba League,白熱プロ野球'93 ガンバリーグ,エピック・ソニーレコード （ソニー・ミュージックエンタテインメント） / Epic Sony Records (Sony Music Entertainment),SHVC-GV-(ESPG47),1992-12-11,Sports / Baseball
Supiritto Oozumou Tamashii,スピリット 大相撲魂,タカラ / Takara,SHVC-OZ,1992-12-11,Sports
Psycho Dream,サイコドリーム,ライオット（日本テレネット） / Riot (Telenet Japan),SHVC-PY,1992-12-11,Action / Beat 'em Up
Pachiokun Special,スペシャル パチ夫くんSPECIAL,ココナッツ・ジャパン / Coconuts Japan,SHVC-PA,1992-12-11,Gambling / Pachinko
Kidou Soukou Dion,機動装甲ダイオン,ビック東海 / Vic Tokai,SHVC-DY,1992-12-14,Shooter / Vertical
Super Oozumou - Nessen Dai Ichiban,スーパー大相撲 熱戦大一番,ナムコ / ナムコット / Namco / Namcot,SHVC-OK,1992-12-18,Sports / Sumo (相撲)
Tiny Toon Adventures - Buster Busts Loose,タイニートゥーン アドベンチャーズ,コナミ / Konami,SHVC-TA / SNS-TA,1992-12-18 / 1993-02-01,Action / Side Scrolling
SD Gundam Gaiden 2 - Entaku no Kishi,SDガンダム外伝2 円卓の騎士,"バンダイ, ユタカ / Bandai, Yutaka",SHVC-EN,1992-12-18,RPG
Tatakae Genshijin 2 - Rookie no Bouken,戦え原始人2 ルーキーの冒険,データイースト / Data East,SHVC-J2 / SNS-J2,1992-12-18 / 1993-01-01,Action / Side Scrolling
Super Tetris 2 + Bombliss,スーパーテトリス2＋ボンブリス,ビー・ピー・エス / Bullet-Proof Software / Elorg,SHVC-T2,1992-12-18,Puzzle / Arranging
David Crane's Amazing Tennis,アメージングテニス,"パック・イン・ビデオ/エレクトロ・ブレイン / Pack-In-Video / Absolute Entertainment, Electro Brain",SHVC-ZT / SNS-ZT,1992-12-18 / 1992-01-01,Sports / Tennis
Stealth,ステルス,ヘクト/アクシズ アート アミューズ / Hector / Axes Art Amuse,SHVC-H7,1992-12-18,Strategy
Assault Suits Valken,重装機兵ヴァルケン,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-AV,1992-12-18,Action / Platformer
Nakajima Satoru Super F-1 Hero,スーパーF-1ヒーロー 中嶋悟監修,バリエ / Varie,SHVC-S4,1992-12-18,Sports / Formula Racing (競馬)
Super Star Wars,スーパー・スター・ウォーズ,"ビクター音楽産業 / ルーカスアーツ / Victor Musical Industries / Lucas Arts, Sculptured Software",SHVC-V4 / SNS-V4,1992-12-18 / 1992-11-01,Action / Side Scrolling
Flying Hero - Bugyuru no Daibouken,フライングヒーロー ぶぎゅる〜の大冒険,ソフエル / Sofel,SHVC-B9,1992-12-18,Shooter / Vertical
Naxat Super Pinball - Jaki Hakai,ナグザット スーパーピンボール 邪鬼破壊,ナグザット / Naxat Soft,SHVC-JH,1992-12-18,Simulation / Pinball
Super Nichibutsu Mahjong,スーパーニチブツマージャン,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-NM,1992-12-18,Table Game / Mahjong
"Hanjuku Hero - Hanjuku Eiyuu Aa, Sekai yo Hanjuku Nare...!!",はんじゅくヒーロー 半熟英雄 ああ、世界よ半熟なれ…！！,スクウェア / Square,SHVC-HH,1992-12-19,Strategy
46 Okunen Monogatari - Harukanaru Eden he,46億年物語 —はるかなるエデンへ—,エニックス / ゲームプラン21 / アルマニック / Enix / Gameplan 21 / Almanic,SHVC-46 / SNS-46,1992-12-21 / 1993-07-01,Action / RPG
Rushing Beat Ran - Fukusei Toshi,ラッシング・ビート乱複製都市,ジャレコ / Jaleco,SHVC-RE,1992-12-22,Action / Beat 'em Up
Looney Tunes Road Runner vs. Wily E Coyote,LOONEY TUNES ロードランナーVSワイリーコヨーテ,サンソフト（サン電子） / Sunsoft (Sun Electronics) / Icom Simutations,SHVC-DV / SNS-DV,1992-12-22 / 1992-01-01,Action / Side Scrolling
Shounen Ashibe - Goma-chan no Yuuenchi Daibouken,少年アシベ ゴマちゃんのゆうえんち大冒険,タカラ / Takara,SHVC-AS,1992-12-22,Action
Kiki Kaikai - Nazo no Kuro Manto,奇々怪界 謎の黒マント,ナツメ / タイトー / Taito / Natsume,SHVC-KK,1992-12-22,Shooter / Vertical
The Combatribes,コンバットライブス,テクノスジャパン / Technos Japan,SHVC-CR / SNS-CR,1992-12-23 / 1993-03-01,Action / Beat 'em Up
Dai Bakushou Jinsei Gekijou,大爆笑 人生劇場,タイトー / Taito,SHVC-GH,1992-12-25,Table Game
Tecmo Super NBA Basketball,テクモスーパーNBAバスケットボール,テクモ / Tecmo,SHVC-NA,1992-12-25,Sports / Basketball
Super Fire Pro Wrestling 2,スーパーファイヤープロレスリング2,ヒューマン / Human,SHVC-FF,1992-12-25,Sports / Wrestling
Super Kick Off,スーパーキックオフ,ミサワエンターテインメント / Misawa Entertainment / Anco Games,SHVC-KO,1992-12-25,Sports / Soccer
Mahjong Hisshou Den - Naki no Ryuu,哭きの竜 麻雀飛翔伝,アイ・ジー・エス / IGS (Information Global Service),SHVC-RY,1992-12-25,Table Game / Mahjong
Ranma 1/2 - Bakuretsu Rantou Hen,らんま1/2 爆烈乱闘篇,"メサイヤ （日本コンピューターシステム, ネットワークエキスプレス / アトリエドゥーブル / 小学館プロダクション / Masiya (NCS) / Atelier Double / Shogakukan Production",SHVC-R2,1992-12-25,Fighting / Hand To Hand
Super Volley 2,スーパーバレーII,ビデオシステム / Video System,SHVC-VB,1992-12-25,Sports / Volleyball
The King of Rally,ザ・キング・オブ・ラリー パリ−モスクワ−北京,メルダック / カゼ / Meldac / Kaze,SHVC-KP,1992-12-28,Sports / Off Road Racing (競馬)
Shijou Saikyou no Quiz Ou Kettei Sen Super,スーパー史上最強のクイズ王決定戦,ヨネザワパーティールーム21 / エスパル / Yonezawa Party Room 21 / S'PAL,SHVC-QS,1992-12-28,Quiz
Elfaria - A Fantastic Theater,エルファリア,ハドソン / Hudson,SHVC-H5,1993-01-03,RPG
Alien vs. Predator,エイリアンVS.プレデター,アイ・ジー・エス / アクティビジョン / IGS (Information Global Service) / Activision,SHVC-AP,1993-01-08,Action / Beat 'em Up
Burai - Hachigyoku no Yuushi Densetsu,ブライ 「八玉の勇士伝説」,アイ・ジー・エス / パンドラボックス / リバーヒルソフト / IGS (Information Global Service) / Pandora Box / Riverhill Soft,SHVC-BI,1993-01-14,RPG / Turn Based
Europe Sensen,ヨーロッパ戦線,光栄 / Koei,SHVC-YP,1993-01-16,Strategy / Turn Based
Might and Magic - Book 2,マイト＆マジック BOOK 2,ロジーク（ジー・アミューズメンツ） / LOZC G. Amusements / New World Computing / Starcraft,SHVC-MV,1993-01-22,RPG / First Person
Makeruna! Makendou,負けるな！魔剣道,データム・ポリスター / Datam Polystar,SHVC-M7,1993-01-22,Action / Beat 'em Up
Dragon's Earth,ドラゴンズ・アース,"ヒューマン, フィールド / Human, Field",SHVC-DG,1993-01-22,Strategy
Populous 2 - Trials of the Olympian Gods,ポピュラスII,"イマジニア / インフィニティー / エレクトロニック・アーツ / Imagineer / Infinity, Bullfrog / Electronic Arts",SHVC-PL,1993-01-22,Strategy
Ushio to Tora,うしおととら,バンダイ / ユタカ / Bandai / Yutaka,SHVC-UT,1993-01-25,Action / Side Scrolling
Namco Open,ナムコットオープン,ナムコ / ナムコット / Namco / Namcot,SHVC-NO,1993-01-29,Sports / Golf
Q*Bert 3,キュー＊バート3,バップ / VAP (NTV),SHVC-Q3,1993-01-29,Arcade / Retro
Krusty's World,クリスティーワールド,アクレイムジャパン / Acclaim Japan / Audiogenic Software,SHVC-FH,1993-01-29,Puzzle
Super Bikkuriman,スーパービックリマン,ベック / Interbec,SHVC-BM,1993-01-29,Fighting / Hand To Hand
Super Soukoban,スーパー倉庫番,パック・イン・ビデオ / シンキングラビット / Pack-in-Video / Thinking Rabbit,SHVC-VN,1993-01-29,Puzzle / Logic
Nobunaga Kou Ki,信長公記,やのまん / 天下布武 ビットタウン / Yanoman / Bit Town,SHVC-NT,1993-01-29,Strategy
World Class Rugby,ワールドクラス ラグビー,ミサワエンターテインメント / Misawa Entertainment / Audiogenic Software,SHVC-WY,1993-01-29,Sports / Rugby
Gegege no Kitarou - Fukkatsu! Tenma Daiou,ゲゲゲの鬼太郎 復活！天魔大王,バンダイ / Bandai,SHVC-G4,1993-02-05,Action / Side Scrolling
Pro Football '93,プロフットボール'93,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-JM,1993-02-12,Sports / Football
Doraemon - Nobita to Yousei no Kuni,ドラえもん のび太と妖精の国,エポック社 / 酒田エス・エー・エス / Epoch / Sakata SAS,SHVC-DR,1993-02-19,Action
Wally wo Sagase! - Ehon no Kuni no Daibouken,ウォーリーをさがせ！ 絵本の国の大冒険,トミー / オーパス / Tomy / Opus,SHVC-WA,1993-02-19,Puzzle / Other
Koutetsu no Kishi,鋼鉄の騎士,アスミック / ジェネラルサポート / デュアル / Asmik / General Support / Dual,SHVC-PZ,1993-02-19,Strategy
Kikuni Masahiko no Jantoushi Dora Ou,喜国雅彦の雀闘士 銅鑼王,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-JD,1993-02-19,Table Game / Mahjong
Star Fox,スターフォックス,任天堂 / Nintendo / Argonaut,SHVC-FO,1993-02-21,Shooter / 360
Cosmo Gang - The Puzzle,コズモギャング ザ パズル,ナムコ / ナムコット / Namco / Namcot,SHVC-CI,1993-02-26,Puzzle / Arranging
Batman Returns,バットマン リターンズ,コナミ / コナミ エンタテイメント / Konami / Konami Entertainment,SHVC-BJ / SNS-BJ-USA,1993-02-26 / 1993-04-01,Action / Beat 'em Up
Leading Company,リーディングカンパニー,光栄 / Koei,SHVC-LC,1993-02-26,Strategy
Sim Ant,シムアント,イマジニア / トムキャットシステム / マクシス / Imagineer / Tomcat System / Maxis,SHVC-AN / SNS-AN,1993-02-26 / 1993-10-01,Strategy
Oda Nobunaga - Haou no Gundan,織田信長 覇王の軍団,エンジェル / Angel,SHVC-ON,1993-02-26,Strategy
Xak - The Art of Visual Stage,サーク,サンソフト（サン電子） / 東海エンジニアリング / マイクロキャビン / Sunsoft (Sun Electronics) / Tokai Engineering / Micro Cabin,SHVC-XK,1993-02-26,RPG
BattleTech,バトルテック,ビクター音楽産業 / Victor Musical Industries / Beam Software,SHVC-WM,1993-02-26,Action
NBA Pro Basketball - Bulls vs. Blazers,NBAプロバスケットボール ブルズVSブレイザーズ,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-BU,1993-02-26,Sports / Basketball
The Simpsons - Bart no Fushigi na Yume no Daibouken,バートの不思議な夢の大冒険,アクレイムジャパン / Acclaim Japan / Sculptured Software,SHVC-BN,1993-02-26,Action
F-1 Grand Prix Part 2,F1グランプリ パート2,ビデオシステム / Video System,SHVC-FV,1993-02-26,Sports / Formula Racing (競馬)
Albert Odyssey,アルバートオデッセイ,"サンソフト（サン電子）, 東海エンジニアリング / Sunsoft (Sun Electronics), Tokai Engineering",SHVC-AO,1993-03-05,RPG
Metal Max 2,メタルマックス2,データイースト / クレアテック / Data East / Crea-Tech,SHVC-MX,1993-03-05,RPG / Turn Based
Ihatovo Monogatari,イーハトーヴォ物語,ヘクト / hector,SHVC-H8,1993-03-05,RPG
Exhaust Heat 2 - F1 Driver he no Kiseki,エキゾースト・ヒートII F1ドライバーへの軌跡,セタ / Seta,SHVC-E2,1993-03-05,Sports / Formula Racing (競馬)
Monopoly,モノポリー,トミー / ハスブロー / Tomy / Hasbro,SHVC-ML / SNS-ML,1993-03-05 / 1992-09-01,Table Game
New 3D Golf Simulation - Devil's Course - 3D Golf Simulation,デビルズコース,ティーアンドイーソフト / T&E Soft,SHVC-GT,1993-03-05,Sports / Golf
JoJo no Kimyou na Bouken,ジョジョの奇妙な冒険,バンダイ / コブラ・チーム / ウィンキーソフト / Bandai / Cobra Team / winkysoft,SHVC-JK,1993-03-05,RPG
Super Kick Boxing - Best of the Best,スーパーキックボクシング,エレクトロ・ブレイン・コーポレーション・ジャパン / Electro Brain Corp. Japan / Loriciel,SHVC-BE,1993-03-05,Sports / Martial Arts
Super Famista 2,スーパーファミスタ2,ナムコ / Namcot,SHVC-FI,1993-03-12,Sports / Baseball
Densetsu no Ogre Battle - The March of the Black Queen,伝説のオウガバトル,クエスト / Quest,SHVC-OB / SNS-OB,1993-03-12,Strategy / RPG
Edo no Kiba,エドノ 牙,マイクロワールド/ライオット（日本テレネット） / Micro World / Riot (Telenet Japan),SHVC-EK,1993-03-12,Action / Beat 'em Up
California Games 2,カリフォルニアゲームズII,"ヘクト / hector / EPYX, Silicon Soecery",SHVC-H9,1993-03-12,Sports
2020 Super Baseball,2020年 スーパーベースボール,ケイ・アミューズメントリース / エス・エヌ・ケイ / K. Amusement Leasing Co. / SNK,SHVC-SA / SNS-SA,1993-03-12 / 1993-01-01,Sports / Baseball
USA Ice Hockey,U.S.A.アイスホッケー,"ジャレコ, デーシーイー / Jaleco, DCE / Argonaut",SHVC-UI,1993-03-19,Sports / Hockey
Jungle Wars 2 - Kodai Mahou Atimos no Nazo,ジャングルウォーズ2 古代魔法アティモスの謎,"ポニーキャニオン / パウワウ, アトリエドゥーブル / Pony Canyon / POWWOW, Atelier Double",SHVC-JW-(R95V5945),1993-03-19,RPG
Bio Metal,バイオメタル,アテナ / Athena,SHVC-BV / SNS-BV,1993-03-19 / 1993-01-01,Shooter / Horizontal
Chou Makai Taisen! Doraboc Chan,超魔界大戦！どらぼっちゃん,ナグザット / レッド / Naxat Soft / Red,SHVC-DO,1993-03-19,Action / RPG
Nigel Mansell's F1 Challenge,ナイジェル・マンセルF1チャレンジ,インフォコムシステムズ / infocom / Gremlin Graphics Software,SHVC-NC,1993-03-19,Sports / Formula Racing (競馬)
Dragon Ball Z - Super Butouden,ドラゴンボールZ スーパーぶとうでん 超武闘伝,バンダイ / Bandai,SHVC-Z2,1993-03-20,Fighting / Hand To Hand
